Processor Settings
D: 2
k0: 3
k1: 1
k2: 1
F: 8
M: 8

INST	FETCH	DISP	SCHED	EXEC	STATE
1	0	1	2	3	4
2	0	1	2	3	4
3	0	1	2	3	5
4	0	1	2	5	6
5	0	1	2	4	6
6	0	1	2	3	4
7	0	1	2	4	5
8	0	1	2	5	6
9	1	2	3	4	5
10	1	2	3	7	8
11	1	2	3	4	5
12	1	2	3	6	9
13	1	2	3	10	11
14	1	2	3	12	15
15	1	2	3	9	11
16	1	2	3	16	18
17	2	3	4	5	8
18	2	3	4	17	19
19	2	3	4	9	10
20	2	3	4	5	6
21	2	3	4	6	7
22	2	3	4	6	7
23	2	3	4	7	8
24	2	3	4	9	10
25	3	4	5	6	7
26	3	4	5	7	8
27	3	4	5	8	9
28	3	4	5	8	9
29	3	4	5	9	10
30	3	4	5	8	9
31	3	4	5	11	13
32	3	4	5	7	10
33	4	5	6	11	12
34	4	5	6	11	12
35	4	5	6	10	11
36	4	5	6	11	12
37	4	5	6	10	11
38	4	5	6	13	15
39	4	5	6	8	11
40	4	5	7	13	14
41	5	6	7	12	13
42	5	6	7	12	13
43	5	6	8	13	14
44	5	6	8	12	13
45	5	6	8	13	14
46	5	6	9	15	16
47	5	6	9	17	18
48	5	6	9	15	16
49	6	7	10	15	16
50	6	7	10	17	18
51	6	7	10	14	15
52	6	7	11	17	18
53	6	7	11	14	15
54	6	7	11	16	17
55	6	7	12	18	19
56	6	7	12	20	21
57	7	8	12	14	15
58	7	8	13	16	17
59	7	8	13	18	19
60	7	8	13	20	21
61	7	8	14	16	17
62	7	8	14	18	19
63	7	8	14	20	21
64	7	8	14	15	17
65	8	9	15	19	20
66	8	9	15	16	19
67	8	9	15	19	20
68	8	9	15	21	22
69	8	9	16	19	20
70	8	9	16	21	22
71	8	9	16	21	22
72	8	9	16	21	23
73	9	10	16	17	20
74	9	10	17	22	23
75	9	10	17	22	23
76	9	10	17	22	23
77	9	10	18	23	24
78	9	10	18	23	24
79	9	10	18	24	26
80	9	10	18	19	22
81	10	11	18	24	25
82	10	11	19	23	24
83	10	11	19	24	25
84	10	11	19	25	26
85	10	11	20	24	25
86	10	11	20	26	28
87	10	11	20	21	24
88	10	11	20	26	27
89	11	12	20	25	26
90	11	12	21	25	26
91	11	12	21	27	28
92	11	12	21	26	27
93	11	12	21	28	30
94	11	12	21	22	25
95	11	12	22	28	29
96	11	12	22	26	27
97	12	13	22	27	28
98	12	13	23	29	30
99	12	13	23	27	28
100	12	13	23	30	32
101	12	13	23	24	27
102	12	13	23	30	31
103	12	13	24	28	29
104	12	13	24	28	29
105	13	14	24	31	32
106	13	14	25	29	30
107	13	14	25	32	34
108	13	14	25	26	29
109	13	14	25	32	33
110	13	14	25	30	31
111	13	14	26	29	30
112	13	14	26	33	34
113	14	15	26	30	31
114	14	15	26	34	36
115	14	15	26	27	30
116	14	15	27	34	35
117	14	15	27	31	32
118	14	15	27	31	32
119	14	15	28	35	36
120	14	15	28	32	33
121	15	16	28	36	38
122	15	16	28	29	32
123	15	16	28	36	37
124	15	16	29	33	34
125	15	16	29	32	33
126	15	16	29	37	38
127	15	16	30	33	34
128	15	16	30	38	40
129	16	17	30	31	34
130	16	17	30	38	39
131	16	17	30	35	36
132	16	17	31	34	35
133	16	17	31	39	40
134	16	17	31	34	35
135	16	17	31	40	42
136	16	17	31	32	35
137	17	18	32	40	41
138	17	18	32	36	37
139	17	18	32	35	36
140	17	18	33	41	42
141	17	18	33	36	37
142	17	18	33	42	44
